id,job_title,job_description,category
61,"Threat Intelligence Analyst","We are looking for a Threat Intelligence Analyst to support our cyber defense strategy. You will collect and analyze threat data from open-source and commercial intelligence feeds, produce actionable intelligence reports, and brief the security leadership team. Proficiency in tools like MISP, Anomali, or Recorded Future is required. Experience with scripting in Python for data collection and enrichment automation is expected. You will correlate threat actor TTPs using the MITRE ATT&CK framework, support purple team exercises, and collaborate with the SOC on detection improvements. Knowledge of geopolitics and industry-specific threat landscapes is a plus. 3+ years in threat intelligence or related security role required.","Cyber Security Analyst"
62,"Machine Learning Platform Engineer","We are hiring a Machine Learning Platform Engineer to build infrastructure that accelerates data science productivity. You will develop self-service tools for model training, experiment tracking, and deployment using MLflow, Kubeflow, and Seldon. Strong experience with Kubernetes, Docker, and Python is required. Familiarity with distributed training (Ray, Spark MLlib), GPU resource management, and model monitoring for data drift detection is expected. You will collaborate with data scientists to understand pain points and translate them into platform features. Experience with AWS SageMaker or GCP Vertex AI pipelines is a significant advantage. 4+ years in ML infrastructure or MLOps roles preferred.","Machine Learning Engineer"
63,"IT Project Business Analyst","We are seeking an IT Project Business Analyst to support the delivery of large-scale digital transformation programs. You will create business requirement documents, data flow diagrams, and user stories aligned to project milestones. Proficiency in JIRA and Confluence, and experience with stakeholder management at all levels of the organization is required. Knowledge of Agile and Waterfall methodologies, and ability to switch between them based on project needs is expected. SQL skills for data validation and experience with Microsoft Visio for process documentation are a plus. You will manage change requests, support UAT, and ensure deliverables meet acceptance criteria. PMP or PRINCE2 certification is advantageous.","Business Analyst"
64,"Kubernetes Platform Developer","We are looking for a developer to contribute to our internal Kubernetes platform product. You will build Kubernetes operators and custom controllers using Go, develop Helm chart libraries, and maintain platform APIs consumed by application teams. Deep knowledge of Kubernetes API machinery, CRDs, and admission webhooks is required. Experience with testing frameworks like Ginkgo and integration with CI/CD using GitHub Actions is expected. You will document platform capabilities, conduct onboarding sessions for engineering teams, and contribute to open-source Kubernetes tooling. Familiarity with cloud platforms (AWS EKS, GCP GKE, or Azure AKS) is highly valued.","Cloud Engineer"
65,"Full Stack JavaScript Engineer","We are seeking a Full Stack JavaScript Engineer to build features across our entire product stack. You will develop backend services using Node.js and Express with PostgreSQL, and build React frontends with TypeScript. Experience with GraphQL, REST API design, and real-time communication using WebSockets is required. Familiarity with Docker, AWS deployment using Elastic Beanstalk or ECS, and monitoring with CloudWatch is expected. You will contribute to architectural decisions, write tests using Jest and Cypress, and work in a collaborative startup environment where ownership and initiative are valued. 3–5 years of full-stack JavaScript experience is required.","Software Engineer"
66,"Deep Learning Engineer","We are hiring a Deep Learning Engineer to develop state-of-the-art models for our AI product portfolio. You will design and train models for tasks including image classification, object detection, and sequence modeling using PyTorch and ONNX. Strong knowledge of CNN, RNN, LSTM, and transformer architectures is required. Experience with model compression, quantization, and deployment to edge devices or via TensorRT is a plus. You will run large-scale training experiments on multi-GPU clusters, track experiments with Weights & Biases, and collaborate with product teams to optimize model accuracy versus latency. A Master's or PhD in deep learning or related field is preferred.","Machine Learning Engineer"
67,"Information Systems Business Analyst","We are looking for an Information Systems Business Analyst to support ERP and CRM implementations. You will analyze existing business processes, document requirements, and configure Salesforce CRM and SAP ERP modules. Strong understanding of data flows, system integrations, and API-based connectivity is required. Proficiency in SQL for data migration validation and experience with JIRA for tracking implementation tasks are expected. You will lead user training sessions, develop test cases for UAT, and maintain post-implementation support documentation. Knowledge of Agile delivery methodology and experience with cloud-based ERP/CRM systems is highly valued.","Business Analyst"
68,"Redis / Caching Engineer","We are seeking a Software Engineer with deep expertise in caching and real-time data systems. You will design caching strategies using Redis and Memcached, develop high-throughput event streaming pipelines with Apache Kafka, and build low-latency microservices in Go or Java. Experience with distributed systems, consistency models, and database query optimization in PostgreSQL is required. Familiarity with Docker, Kubernetes, and AWS deployment is expected. You will optimize system performance, write load tests using k6 or Gatling, and participate in capacity planning discussions. 4+ years of backend engineering with a focus on performance-critical systems is required.","Software Engineer"
69,"Security Engineer – DevSecOps","We are hiring a Security Engineer focused on DevSecOps to integrate security into our software delivery pipeline. You will implement SAST tools like Checkmarx, SCA tools like Snyk, and container scanning using Trivy in CI/CD pipelines. Strong knowledge of secure coding practices, OWASP guidelines, and secrets management using HashiCorp Vault is required. Experience with cloud security posture management (CSPM) tools and AWS Security Hub is expected. You will work with development teams to remediate vulnerabilities, conduct threat modeling, and define secure-by-default infrastructure patterns. 3+ years in application or DevSecOps security engineering required.","Cyber Security Analyst"
70,"Senior Web Developer – PHP / Laravel","We are looking for a Senior Web Developer with PHP and Laravel expertise to lead backend development of our web platform. You will architect and develop RESTful APIs using Laravel, design complex database schemas in MySQL, and implement job queues with Laravel Horizon and Redis. Experience with Docker, Nginx, and deployment on AWS EC2 or Lightsail is required. Strong knowledge of object-oriented PHP, SOLID principles, and PHPUnit for testing is expected. You will mentor junior developers, perform code reviews, and contribute to architectural decisions. Familiarity with Vue.js or React for frontend integration is a valuable plus. 5+ years of PHP development experience required.","Web Developer"
71,"Cloud Cost Optimization Engineer","We are seeking a Cloud Cost Optimization Engineer to reduce and govern cloud spend across AWS, Azure, and GCP. You will analyze usage patterns, implement rightsizing recommendations, and develop automated cleanup scripts using Python and Terraform. Experience with AWS Cost Explorer, Savings Plans, and Reserved Instances strategy is required. Familiarity with tools like Apptio Cloudability or CloudHealth is a plus. You will collaborate with engineering teams to embed cost awareness, define tagging standards, and produce monthly cost reports for leadership. Knowledge of FinOps Foundation principles and container resource management in Kubernetes is highly valued.","Cloud Engineer"
72,"Data Science Intern","We are offering a Data Science Internship for students or recent graduates eager to apply their skills in a commercial environment. You will assist the data science team with data cleaning using Python and Pandas, exploratory data analysis, and building prototype machine learning models using scikit-learn. Basic knowledge of SQL, NumPy, and familiarity with Jupyter Notebooks is required. Exposure to visualization libraries like Matplotlib and Seaborn is a plus. You will participate in team meetings, contribute to research on new modeling techniques, and present findings. This role offers hands-on experience with real-world datasets and mentorship from experienced data scientists. Current enrollment in a CS, Statistics, or related degree is required.","Data Scientist"
73,"Software Engineer – Golang","We are hiring a Software Engineer experienced in Go to build high-performance backend services. You will design and implement distributed microservices using Go, gRPC, and Protocol Buffers, and integrate with Apache Kafka for event streaming. Experience with PostgreSQL and Redis, and proficiency in Docker and Kubernetes for service deployment is required. You will write comprehensive unit and integration tests, participate in architecture reviews, and contribute to internal developer tooling. Familiarity with observability practices using OpenTelemetry and Jaeger for distributed tracing is expected. 3+ years of Go development in a production environment is required. Open source contributions to Go projects are a plus.","Software Engineer"
74,"Prompt Engineer / AI Specialist","We are seeking a Prompt Engineer and AI Specialist to optimize interactions with large language models across our product suite. You will design, test, and iterate on prompts for GPT-4 and Claude models to improve output quality for tasks such as summarization, classification, and code generation. Experience with LangChain, LlamaIndex, and retrieval-augmented generation (RAG) architectures is required. Proficiency in Python and familiarity with vector databases such as Pinecone or Weaviate is expected. You will evaluate LLM outputs using quantitative metrics and human-in-the-loop feedback frameworks. A background in NLP, linguistics, or machine learning is strongly preferred.","Machine Learning Engineer"
75,"Solutions Architect – AWS","We are looking for a Solutions Architect with deep AWS expertise to support pre-sales and customer onboarding activities. You will design bespoke cloud architectures for enterprise clients, produce detailed architecture documents and cost estimates, and present solutions at executive level. Deep knowledge of AWS services including EC2, RDS, EKS, Lambda, CloudFront, and Direct Connect is required. Experience with Terraform for infrastructure-as-code and familiarity with cloud migration frameworks (6 Rs) is expected. You will work closely with sales, customer success, and professional services teams. Excellent communication and presentation skills are essential. AWS Certified Solutions Architect Professional is required.","Cloud Engineer"
76,"Data Governance Analyst","We are hiring a Data Governance Analyst to establish and maintain our data governance framework. You will define data quality standards, manage metadata in a data catalog (Collibra or Alation), and work with data owners to classify sensitive data under GDPR and CCPA requirements. Proficiency in SQL for data quality checks and experience with data lineage tools is required. Familiarity with cloud data platforms such as Snowflake or BigQuery and basic Python scripting for automation are a plus. You will facilitate data stewardship committees, produce data quality scorecards, and provide guidance on master data management. 3+ years in data governance or data management roles is required.","Business Analyst"
77,"iOS Developer","We are seeking a skilled iOS Developer to build and maintain our consumer mobile application. You will develop features using Swift and SwiftUI, consume RESTful APIs, and implement local data persistence using Core Data and CloudKit. Experience with Combine for reactive programming, XCTest for unit and UI testing, and App Store submission processes is required. Familiarity with CI/CD using Fastlane and GitHub Actions, and basic knowledge of backend services and AWS is a plus. You will collaborate with Android and backend engineers to ensure feature parity, and with UX designers using Figma. 3+ years of iOS development experience with at least one published App Store application is required.","Software Engineer"
78,"AI Ethics & Model Risk Analyst","We are looking for an AI Ethics and Model Risk Analyst to ensure responsible and compliant use of machine learning across our organization. You will conduct model risk assessments, evaluate models for bias and fairness using tools like Fairlearn and IBM AI Fairness 360, and maintain model risk documentation aligned with SR 11-7 and EU AI Act guidelines. Experience with Python, statistical modeling concepts, and risk management frameworks is required. Familiarity with LLM evaluation practices and data privacy regulations is expected. You will collaborate with data science, legal, and compliance teams to embed ethical AI principles into the model development lifecycle.","Data Scientist"
79,"Terraform Engineer","We are seeking a Terraform Engineer to own and evolve our infrastructure-as-code practice. You will write, review, and refactor Terraform modules for AWS and Azure resources, manage state backends using Terraform Cloud or S3, and implement policy-as-code with Open Policy Agent (OPA) and Sentinel. Strong knowledge of Terraform best practices including module design, workspace management, and version pinning is required. Experience with CI/CD integration for Terraform pipelines and familiarity with Ansible for configuration management is expected. You will mentor developers on IaC practices and contribute to improving infrastructure standards. 3+ years of Terraform engineering experience required.","DevOps Engineer"
80,"Mobile Backend Engineer","We are hiring a Mobile Backend Engineer to build APIs and services that power our iOS and Android applications. You will develop high-performance REST APIs using Python (FastAPI) or Java (Spring Boot), design schemas in PostgreSQL, and implement push notification services using Firebase and APNs. Experience with caching using Redis, API gateway configuration on AWS API Gateway, and authentication via OAuth 2.0 / JWT is required. You will collaborate closely with mobile frontend teams to design contract-first APIs, and with DevOps to ensure reliable deployments on AWS ECS. 3+ years of backend development experience with mobile API focus is required.","Software Engineer"
81,"Cloud Compliance Engineer","We are seeking a Cloud Compliance Engineer to ensure our AWS and Azure environments adhere to regulatory and internal security standards. You will implement compliance controls mapped to SOC 2, ISO 27001, and PCI-DSS, configure AWS Config Rules and Azure Policy for continuous compliance monitoring, and produce audit reports. Strong understanding of cloud security architecture, IAM, and encryption standards is required. Experience with compliance automation tools such as Chef InSpec or AWS Security Hub is expected. Proficiency in Python for compliance scripting and Terraform for remediation automation is a plus. CISA or CCSP certification is preferred. 4+ years in cloud or IT compliance roles required.","Cyber Security Analyst"
82,"Senior Angular Developer","We are looking for a Senior Angular Developer to lead frontend development of our enterprise data platform UI. You will architect and implement large-scale Angular applications, establish component library standards, and mentor junior frontend engineers. Expert knowledge of Angular 16+, TypeScript, RxJS, and NgRx state management is required. Experience with micro-frontend architecture using Module Federation, and performance optimization using lazy loading and OnPush change detection is expected. Familiarity with Docker and Azure DevOps for CI/CD is a plus. You will collaborate with backend and UX teams to deliver high-quality, accessible interfaces. 5+ years of Angular development experience is required.","Web Developer"
83,"Principal Data Engineer","We are hiring a Principal Data Engineer to lead data platform strategy and execution. You will define technical standards for data ingestion, transformation, and serving layers, and lead a team of 4–6 data engineers. Deep expertise in Spark, Kafka, Airflow, dbt, and cloud data warehouses such as Snowflake or Databricks is required. Strong Python and SQL skills and experience with building real-time analytics pipelines are expected. You will drive adoption of DataOps practices, implement data observability using tools like Monte Carlo or Great Expectations, and collaborate with data science and business intelligence teams. 7+ years of data engineering experience including team leadership is required.","Data Scientist"
84,"GCP Cloud Architect","We are seeking a GCP Cloud Architect to lead design and governance of our Google Cloud Platform environment. You will define multi-project architectures, implement shared VPC and Interconnect configurations, and establish security baselines using Cloud Armor and IAM policies. Deep knowledge of GCP services including GKE, Cloud Run, BigQuery, Cloud Spanner, and Pub/Sub is required. Experience with Terraform for GCP provisioning and familiarity with CI/CD using Cloud Build is expected. You will produce reference architectures, lead architecture review boards, and mentor cloud engineers. GCP Professional Cloud Architect certification is required. 6+ years of cloud architecture experience.","Cloud Engineer"
85,"Fraud Detection Data Scientist","We are looking for a Data Scientist specializing in fraud detection to build models that protect our payments platform. You will develop anomaly detection and binary classification models using gradient boosting (XGBoost, LightGBM) and neural networks in Python. Experience with imbalanced datasets, feature engineering for transactional data, and evaluation metrics like precision-recall and AUC is required. Familiarity with real-time model serving on AWS SageMaker and monitoring model performance drift is expected. You will collaborate with fraud operations teams to understand patterns and incorporate domain knowledge into models. Experience in financial services or payments fraud analytics is strongly preferred.","Data Scientist"
86,"Platform Business Analyst","We are seeking a Platform Business Analyst to support product and engineering teams delivering our core B2B SaaS platform. You will write detailed user stories, create mockups using Figma or Balsamiq, and maintain the product backlog in JIRA. Strong communication skills and experience facilitating discovery workshops with enterprise customers are required. Proficiency in SQL for analyzing product usage data and familiarity with analytics tools like Mixpanel or Amplitude is a plus. You will define acceptance criteria, support QA testing, and track post-release outcomes against defined KPIs. A background in SaaS product companies and Agile development environments is strongly preferred.","Business Analyst"
87,"Rust Software Engineer","We are hiring a Rust Software Engineer to develop performance-critical systems and tooling. You will build memory-safe, high-throughput services in Rust, contribute to internal libraries, and integrate with C and C++ codebases via FFI. Strong understanding of Rust ownership model, async programming using Tokio, and systems programming concepts is required. Experience with building CLI tools, WebAssembly modules, or networking applications in Rust is a plus. You will collaborate with platform and infrastructure teams, write comprehensive documentation, and participate in design reviews. Contributions to open-source Rust projects are highly valued. 2+ years of professional Rust development experience is required.","Software Engineer"
88,"Identity & Access Management Engineer","We are seeking an IAM Engineer to design and implement identity solutions across our enterprise and cloud environments. You will manage Okta and Azure AD configurations, implement SSO using SAML and OIDC, and design RBAC and ABAC policies for AWS and Azure resources. Experience with Privileged Access Management (PAM) solutions such as CyberArk, and directory services including Active Directory and LDAP, is required. Familiarity with scripting using Python or PowerShell for IAM automation is expected. You will lead IAM audits, support SOC 2 compliance reviews, and work closely with security operations and IT teams. 3+ years in IAM engineering is required.","Cyber Security Analyst"
89,"Python Data Engineer – Spark","We are looking for a Python Data Engineer with Apache Spark experience to build large-scale data processing systems. You will develop Spark jobs in PySpark for batch and micro-batch processing, manage workflows in Apache Airflow, and load data into Snowflake and Delta Lake. Strong SQL skills and proficiency in Python are required. Experience with cloud storage on AWS S3 or Azure ADLS, and familiarity with streaming using Kafka or Kinesis is expected. You will implement unit tests for pipelines, manage schema evolution, and collaborate with data scientists and analysts to deliver reliable, high-quality data products. 3+ years of data engineering with Spark experience is required.","Data Scientist"
90,"Headless CMS Developer","We are hiring a Web Developer with headless CMS experience to build content-driven web applications. You will integrate Contentful or Strapi CMS with a Next.js frontend, implement static site generation and incremental static regeneration patterns, and consume GraphQL and REST content APIs. Strong knowledge of JavaScript/TypeScript, React, and web performance optimization is required. Experience with CDN configuration using Cloudflare or AWS CloudFront and familiarity with SEO best practices for headless architectures is expected. You will collaborate with content teams and marketing stakeholders to implement content models and publishing workflows. 2+ years of Next.js and headless CMS development experience is required.","Web Developer"
91,"Generative AI Engineer","We are seeking a Generative AI Engineer to build AI-powered product features using large language models. You will design and implement RAG pipelines using LangChain and LlamaIndex, integrate with OpenAI and Anthropic APIs, and deploy AI microservices on AWS using FastAPI and Docker. Experience with vector databases such as Pinecone or Chroma and prompt engineering for production use cases is required. Strong Python skills and familiarity with evaluation frameworks for LLM outputs are expected. You will collaborate with product managers to define AI feature requirements and with ML engineers on fine-tuning and model selection decisions. 2+ years of applied LLM or generative AI engineering experience required.","Machine Learning Engineer"
92,"IT Operations Analyst","We are looking for an IT Operations Analyst to support and improve our enterprise IT environment. You will manage ticketing workflows in ServiceNow, perform root cause analysis on incidents, and support configuration management activities using CMDB. Experience with Windows Server and Linux administration, Active Directory management, and basic networking troubleshooting is required. Familiarity with monitoring tools such as Nagios, Zabbix, or Datadog is a plus. You will document processes, assist in IT audits, and contribute to the improvement of ITIL-aligned service management processes. ITIL v4 Foundation certification is preferred. Strong communication and organizational skills are essential.","Business Analyst"
93,"Streaming Data Engineer","We are hiring a Streaming Data Engineer to build real-time data infrastructure. You will design and operate Kafka clusters, develop stream processing applications using Apache Flink or Spark Structured Streaming in Python and Scala, and integrate with downstream systems including BigQuery and Elasticsearch. Strong understanding of event-driven architectures, at-least-once and exactly-once processing semantics, and schema management with Confluent Schema Registry is required. Experience with Kubernetes for deploying streaming applications and monitoring with Prometheus and Grafana is expected. You will collaborate with product and analytics teams to deliver sub-second analytics pipelines. 4+ years of data engineering with streaming experience required.","Data Scientist"
94,"Mobile Security Analyst","We are seeking a Mobile Security Analyst to assess and improve the security of our iOS and Android applications. You will perform dynamic and static analysis of mobile apps using MobSF, Frida, and Charles Proxy, and identify vulnerabilities such as insecure data storage, improper authentication, and insufficient transport layer security. Experience with OWASP Mobile Top 10 and hands-on experience with both iOS and Android security models is required. Familiarity with reverse engineering tools and scripting in Python for automation is expected. You will produce detailed vulnerability reports, support development teams in remediation, and contribute to secure mobile development guidelines. 3+ years in mobile or application security is required.","Cyber Security Analyst"
95,"Database Administrator","We are looking for a Database Administrator to manage and optimize our production database environments. You will administer PostgreSQL, MySQL, and Oracle databases, manage backups and disaster recovery procedures, and tune query performance. Experience with database replication, high-availability configurations, and capacity planning is required. Familiarity with cloud-managed databases including AWS RDS, Aurora, and Azure SQL is expected. You will collaborate with developers on schema design, enforce data security policies, and support compliance activities. Proficiency in shell scripting and Python for automation of routine DBA tasks is a plus. 4+ years of database administration experience in a production environment is required.","Software Engineer"
96,"Senior Business Intelligence Analyst","We are hiring a Senior Business Intelligence Analyst to lead analytics and reporting initiatives. You will design and build semantic data models in dbt, develop advanced Tableau and Power BI dashboards, and define KPI frameworks for multiple business units. Expert SQL skills and experience with Snowflake or Redshift as the data platform are required. Strong stakeholder management skills and the ability to translate ambiguous business questions into analytical solutions are essential. Experience with Python for statistical analysis and familiarity with Agile ways of working in a data team are a plus. You will mentor junior analysts and lead data quality governance activities. 5+ years of BI or analytics experience required.","Business Analyst"
97,"DevOps Engineer – Ansible & Terraform","We are seeking a DevOps Engineer with strong configuration management skills to automate our infrastructure provisioning and operations. You will write and maintain Ansible playbooks for OS hardening, application deployment, and patch management, and develop Terraform modules for AWS infrastructure. Experience with Jenkins for pipeline automation, Vault for secrets management, and familiarity with AWS services including EC2, IAM, and VPC is required. You will collaborate with security teams to enforce compliance standards and with application teams to streamline environment provisioning. Strong Linux administration skills and Python scripting proficiency are expected. 3+ years of DevOps engineering with Ansible and Terraform experience required.","DevOps Engineer"
98,"AI/ML Product Manager","We are seeking an AI/ML Product Manager to define and execute the roadmap for our machine learning product portfolio. You will work closely with data scientists, ML engineers, and business stakeholders to identify high-value ML use cases, write detailed product requirements, and prioritize the model development backlog. Familiarity with core ML concepts including supervised learning, NLP, and model evaluation metrics is required. Experience with tools like JIRA, Confluence, and data analysis using SQL or Python is expected. You will define success metrics, manage experiment outcomes, and communicate model performance to executive stakeholders. A background in data science or ML engineering transitioning into product is highly valued.","Business Analyst"
99,"Senior Software Engineer – Distributed Systems","We are looking for a Senior Software Engineer with expertise in distributed systems to tackle complex scalability and reliability challenges. You will design fault-tolerant, high-throughput systems using Java and Go, architect event-driven services with Apache Kafka, and implement consensus mechanisms and distributed transactions. Deep understanding of CAP theorem, eventual consistency, and distributed tracing using Jaeger or Zipkin is required. Experience with Kubernetes for orchestration and AWS for cloud deployment is essential. You will mentor engineers, lead technical design sessions, and contribute to engineering blog posts. 6+ years of software engineering with a focus on distributed or backend systems is required.","Software Engineer"
100,"Cloud Machine Learning Engineer","We are hiring a Cloud Machine Learning Engineer to build and scale ML workloads on cloud infrastructure. You will develop training pipelines using SageMaker or Vertex AI, deploy models as REST APIs behind API Gateway, and implement model monitoring using Evidently or WhyLogs. Strong Python skills and experience with PyTorch or TensorFlow, alongside deep knowledge of Docker and Kubernetes for ML workloads, are required. You will architect feature stores using Feast, manage model artifacts in MLflow, and optimize inference costs on GPU instances. Experience with CI/CD for ML pipelines and data versioning using DVC is expected. 4+ years of ML engineering on cloud platforms required.","Machine Learning Engineer"
